"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CfgVehicles_SFM_SunriseVest3_Base0","Zarya Suit Bulletproof Vest","Zarya Suit Bulletproof Vest","Neprůstřelná vesta Zarya Suit","Zarya Anzug Kugelsichere Weste","Бронежилет комбинезона Заря","Kamizelka kuloodporna Zarya Suit","Zarya Suit golyóálló mellény","Gilet antiproiettile della tuta Zarya","Chaleco antibalas Zarya Suit","Gilet pare-balles Zarya Suit","扎里亚套装防弹背心","ザリヤ・スーツ防弾チョッキ","Colete à prova de bala Zarya Suit","扎里亚套装防弹背心",
"STR_CfgVehicles_SFM_SunriseVest3_Base1","The Zarya bulletproof vest is reliable protection against the Zone's dangers. Made from resistant materials, this vest provides dependable protection against bullets, shrapnel, and other threats. Its comfortable and ergonomic design allows for free movement in conditions of constant danger.","The Zarya bulletproof vest is reliable protection against the Zone's dangers. Made from resistant materials, this vest provides dependable protection against bullets, shrapnel, and other threats. Its comfortable and ergonomic design allows for free movement in conditions of constant danger.","Neprůstřelná vesta Zarya je spolehlivou ochranou před nebezpečím v zóně. Tato vesta je vyrobena z odolných materiálů a poskytuje spolehlivou ochranu před kulkami, střepinami a dalšími hrozbami. Její pohodlný a ergonomický design umožňuje volný pohyb v podmínkách neustálého nebezpečí.","Die kugelsichere Weste von Zarya ist ein zuverlässiger Schutz gegen die Gefahren der Zone. Die aus widerstandsfähigen Materialien gefertigte Weste bietet zuverlässigen Schutz vor Kugeln, Granatsplittern und anderen Bedrohungen. Das bequeme und ergonomische Design ermöglicht eine freie Bewegung unter den Bedingungen ständiger Gefahr.","Бронежилет Заря - надежная защита от опасностей Зоны. Изготовленный из устойчивых материалов, этот бронежилет обеспечивает надежную защиту от пуль, осколков и других угроз. Удобный и эргономичный дизайн позволяет свободно передвигаться в условиях постоянной опасности.","Kamizelka kuloodporna Zarya to niezawodna ochrona przed zagrożeniami strefy. Wykonana z odpornych materiałów kamizelka zapewnia niezawodną ochronę przed kulami, odłamkami i innymi zagrożeniami. Jej wygodna i ergonomiczna konstrukcja pozwala na swobodne poruszanie się w warunkach ciągłego zagrożenia.","A Zarya golyóálló mellény megbízható védelmet nyújt a Zóna veszélyei ellen. Az ellenálló anyagokból készült mellény megbízható védelmet nyújt a golyók, repeszek és egyéb fenyegetések ellen. Kényelmes és ergonomikus kialakítása lehetővé teszi a szabad mozgást állandó veszélyhelyzetben.","Il giubbotto antiproiettile Zarya è una protezione affidabile contro i pericoli della zona. Realizzato con materiali resistenti, questo giubbotto offre una protezione affidabile contro proiettili, schegge e altre minacce. Il suo design confortevole ed ergonomico consente di muoversi liberamente in condizioni di pericolo costante.","El chaleco antibalas Zarya es una protección fiable contra los peligros de la Zona. Fabricado con materiales resistentes, este chaleco proporciona una protección fiable contra balas, metralla y otras amenazas. Su diseño cómodo y ergonómico permite moverse libremente en condiciones de peligro constante.","Le gilet pare-balles Zarya est une protection fiable contre les dangers de la zone. Fabriqué à partir de matériaux résistants, ce gilet offre une protection fiable contre les balles, les éclats d'obus et autres menaces. Sa conception confortable et ergonomique permet de se déplacer librement dans des conditions de danger permanent.","Zarya 防弹背心是抵御 ""区 ""内危险的可靠保护装备。该防弹背心采用耐磨材料制成，能够可靠地抵御子弹、弹片和其他威胁。其舒适和符合人体工程学的设计使其能够在持续危险的环境中自由行动。","ザリヤ防弾チョッキは、ゾーンの危険から身を守る信頼性の高いプロテクションです。耐性のある素材で作られたこのベストは、銃弾、破片、その他の脅威から身を守ります。快適で人間工学に基づいたデザインにより、常に危険な状況下でも自由に動くことができます。","O colete à prova de bala Zarya é uma proteção fiável contra os perigos da Zona. Fabricado com materiais resistentes, este colete oferece uma proteção fiável contra balas, estilhaços e outras ameaças. O seu design confortável e ergonómico permite a livre circulação em condições de perigo constante.","Zarya 防弹背心是抵御 ""区 ""内危险的可靠保护装备。该防弹背心采用耐磨材料制成，能够可靠地抵御子弹、弹片和其他威胁。其舒适和符合人体工程学的设计使其能够在持续危险的条件下自由行动。",
"STR_CfgVehicles_SFM_SevaBag0","Regenerative Rebreathers","Regenerative Rebreathers","Regenerační dýchací přístroje","Regenerative Rebreather","Регенеративные ребризёры","Rebreathery regeneracyjne","Regeneratív újralégzőkészülékek","Respiratori rigenerativi","Rebreathers regenerativos","Recycleurs régénératifs","再生式呼吸器","再生式リブリーザー","Rebreathers regenerativos","再生式呼吸器",
"STR_CfgVehicles_SFM_SevaBag1","This is an integrated closed-circuit breathing system that provides stalkers with reliable protection against harmful gases, radiation, and anomalies in the merciless Zone. Made from advanced materials with high-tech filters, ensuring clean air in the most extreme conditions.","This is an integrated closed-circuit breathing system that provides stalkers with reliable protection against harmful gases, radiation, and anomalies in the merciless Zone. Made from advanced materials with high-tech filters, ensuring clean air in the most extreme conditions.","Jedná se o integrovaný dýchací systém s uzavřeným okruhem, který stalkerům poskytuje spolehlivou ochranu proti škodlivým plynům, radiaci a anomáliím v nemilosrdné Zóně. Je vyroben z pokročilých materiálů se špičkovými filtry, které zajišťují čistý vzduch i v těch nejextrémnějších podmínkách.","Es handelt sich um ein integriertes Atemschutzsystem mit geschlossenem Kreislauf, das Stalkern einen zuverlässigen Schutz vor schädlichen Gasen, Strahlung und Anomalien in der gnadenlosen Zone bietet. Hergestellt aus fortschrittlichen Materialien mit Hightech-Filtern, die auch unter extremsten Bedingungen für saubere Luft sorgen.","Это интегрированная система замкнутого дыхания, обеспечивающая сталкеру надежную защиту от вредных газов, радиации и аномалий в безжалостной Зоне. Изготовлены из передовых материалов с высокотехнологичными фильтрами, обеспечивающими чистый воздух в самых экстремальных условиях.","Jest to zintegrowany system oddechowy o zamkniętym obiegu, który zapewnia stalkerom niezawodną ochronę przed szkodliwymi gazami, promieniowaniem i anomaliami w bezlitosnej Strefie. Wykonany z zaawansowanych materiałów z zaawansowanymi technologicznie filtrami, zapewnia czyste powietrze w najbardziej ekstremalnych warunkach.","Ez egy integrált zárt légzőrendszer, amely megbízható védelmet nyújt a leselkedőknek a káros gázok, sugárzások és anomáliák ellen a kíméletlen Zónában. Fejlett anyagokból készült, csúcstechnológiás szűrőkkel, amelyek a legszélsőségesebb körülmények között is tiszta levegőt biztosítanak.","Si tratta di un sistema integrato di respirazione a circuito chiuso che fornisce agli stalker una protezione affidabile contro gas nocivi, radiazioni e anomalie nella Zona spietata. Realizzato con materiali avanzati e filtri ad alta tecnologia, garantisce aria pulita nelle condizioni più estreme.","Se trata de un sistema de respiración integrado de circuito cerrado que proporciona a los acechadores una protección fiable contra gases nocivos, radiaciones y anomalías en la despiadada Zona. Fabricado con materiales avanzados y filtros de alta tecnología, garantiza aire limpio en las condiciones más extremas.","Il s'agit d'un système respiratoire intégré en circuit fermé qui offre aux traqueurs une protection fiable contre les gaz nocifs, les radiations et les anomalies dans la zone impitoyable. Fabriqué à partir de matériaux avancés et de filtres de haute technologie, il garantit un air pur dans les conditions les plus extrêmes.","这是一个集成的闭路呼吸系统，为潜行者提供可靠的保护，防止有害气体、辐射和 ""区 ""内的异常情况。采用先进材料和高科技过滤器制成，确保在最极端的条件下也能呼吸到洁净的空气。","無慈悲なゾーンで、有害なガス、放射線、異常からストーカーを確実に保護する、一体型閉鎖式呼吸システム。ハイテクフィルターを備えた高度な素材から作られており、最も過酷な条件下でもクリーンな空気を確保する。","Trata-se de um sistema integrado de respiração em circuito fechado que proporciona aos perseguidores uma proteção fiável contra gases nocivos, radiação e anomalias na zona impiedosa. Feito de materiais avançados com filtros de alta tecnologia, garante ar limpo nas condições mais extremas.","这是一个集成的闭路呼吸系统，为潜行者提供可靠的保护，防止有害气体、辐射和 ""区 ""内的异常情况。采用先进材料和高科技过滤器制成，确保在最极端的条件下也能呼吸到洁净的空气。",
"STR_CfgVehicles_SFM_SevaBag_Stalker0","Regenerative Rebreathers","Regenerative Rebreathers","Regenerační dýchací přístroje","Regenerative Rebreather","Регенеративные ребризёры","Rebreathery regeneracyjne","Regeneratív újralégzőkészülékek","Respiratori rigenerativi","Rebreathers regenerativos","Recycleurs régénératifs","再生式呼吸器","再生式リブリーザー","Rebreathers regenerativos","再生式呼吸器",
"STR_CfgVehicles_SFM_SevaBag_Stalker1","This integrated closed-circuit breathing system provides stalkers with reliable protection against harmful gases, radiation, and anomalies in the merciless Zone. Made from advanced materials with high-tech filters, ensuring clean air in the most extreme conditions.","This integrated closed-circuit breathing system provides stalkers with reliable protection against harmful gases, radiation, and anomalies in the merciless Zone. Made from advanced materials with high-tech filters, ensuring clean air in the most extreme conditions.","Tento integrovaný dýchací systém s uzavřeným okruhem poskytuje stalkerům spolehlivou ochranu proti škodlivým plynům, radiaci a anomáliím v nemilosrdné Zóně. Je vyroben z pokročilých materiálů se špičkovými filtry, které zajišťují čistý vzduch i v těch nejextrémnějších podmínkách.","Dieses integrierte Atemschutzsystem mit geschlossenem Kreislauf bietet Stalkern zuverlässigen Schutz vor schädlichen Gasen, Strahlung und Anomalien in der unbarmherzigen Zone. Hergestellt aus fortschrittlichen Materialien mit Hightech-Filtern, die auch unter extremsten Bedingungen für saubere Luft sorgen.","Это интегрированная система замкнутого дыхания, обеспечивающая сталкеру надежную защиту от вредных газов, радиации и аномалий в безжалостной Зоне. Изготовлены из передовых материалов с высокотехнологичными фильтрами, обеспечивающими чистый воздух в самых экстремальных условиях.","Ten zintegrowany system oddechowy o zamkniętym obiegu zapewnia stalkerom niezawodną ochronę przed szkodliwymi gazami, promieniowaniem i anomaliami w bezlitosnej Strefie. Wykonany z zaawansowanych materiałów z zaawansowanymi technologicznie filtrami, zapewnia czyste powietrze w najbardziej ekstremalnych warunkach.","Ez az integrált zárt légzőrendszer megbízható védelmet nyújt a leselkedőknek a káros gázok, sugárzások és anomáliák ellen a kíméletlen Zónában. Fejlett anyagokból készült, csúcstechnológiás szűrőkkel, tiszta levegőt biztosítva a legszélsőségesebb körülmények között is.","Questo sistema integrato di respirazione a circuito chiuso offre agli stalker una protezione affidabile contro gas nocivi, radiazioni e anomalie nella Zona spietata. Realizzato con materiali avanzati e filtri ad alta tecnologia, garantisce aria pulita nelle condizioni più estreme.","Este sistema de respiración integrado de circuito cerrado proporciona a los acechadores una protección fiable contra gases nocivos, radiaciones y anomalías en la despiadada Zona. Fabricado con materiales avanzados y filtros de alta tecnología, garantiza aire limpio en las condiciones más extremas.","Ce système respiratoire intégré à circuit fermé offre aux traqueurs une protection fiable contre les gaz nocifs, les radiations et les anomalies dans la zone impitoyable. Fabriqué à partir de matériaux avancés et de filtres de haute technologie, il garantit un air pur dans les conditions les plus extrêmes.","这种集成式闭路呼吸系统为潜行者提供可靠的保护，防止有害气体、辐射和 ""区 ""内的异常情况。它采用先进材料和高科技过滤器制成，确保在最极端的条件下也能呼吸到洁净的空气。","この一体型閉回路呼吸システムは、無慈悲なゾーンにおいて、有害なガス、放射線、異常からストーカーを確実に保護します。ハイテクフィルターを備えた高度な素材から作られており、最も過酷な条件下でもクリーンな空気を確保します。","Este sistema integrado de respiração em circuito fechado proporciona aos perseguidores uma proteção fiável contra gases nocivos, radiação e anomalias na zona impiedosa. Feito de materiais avançados com filtros de alta tecnologia, garante ar limpo nas condições mais extremas.","这种集成式闭路呼吸系统为潜行者提供可靠的保护，防止有害气体、辐射和 ""区 ""内的异常情况。它采用先进材料和高科技过滤器制成，确保在最极端的条件下也能呼吸到洁净的空气。",
"STR_CfgVehicles_dzrp_Seva5M_Set_Dolg_GasBag0","Regenerative Rebreathers","Regenerative Rebreathers","Regenerační dýchací přístroje","Regenerative Rebreather","Регенеративные ребризёры","Rebreathery regeneracyjne","Regeneratív újralégzőkészülékek","Respiratori rigenerativi","Rebreathers regenerativos","Recycleurs régénératifs","再生式呼吸器","再生式リブリーザー","Rebreathers regenerativos","再生式呼吸器",
"STR_CfgVehicles_dzrp_Seva5M_Set_Dolg_GasBag1","This integrated closed-circuit breathing system provides stalkers with reliable protection against harmful gases, radiation, and anomalies in the merciless Zone. Made from advanced materials with high-tech filters that ensure clean air in the most extreme conditions.","This integrated closed-circuit breathing system provides stalkers with reliable protection against harmful gases, radiation, and anomalies in the merciless Zone. Made from advanced materials with high-tech filters that ensure clean air in the most extreme conditions.","Tento integrovaný dýchací systém s uzavřeným okruhem poskytuje stalkerům spolehlivou ochranu proti škodlivým plynům, radiaci a anomáliím v nemilosrdné Zóně. Je vyroben z pokročilých materiálů se špičkovými filtry, které zajišťují čistý vzduch i v těch nejextrémnějších podmínkách.","Dieses integrierte Atemschutzsystem mit geschlossenem Kreislauf bietet Stalkern zuverlässigen Schutz vor schädlichen Gasen, Strahlung und Anomalien in der unbarmherzigen Zone. Hergestellt aus fortschrittlichen Materialien mit Hightech-Filtern, die auch unter extremsten Bedingungen für saubere Luft sorgen.","Это интегрированная система замкнутого дыхания, обеспечивающая сталкеру надежную защиту от вредных газов, радиации и аномалий в безжалостной Зоне. Изготовлены из передовых материалов с высокотехнологичными фильтрами, обеспечивающими чистый воздух в самых экстремальных условиях.","Ten zintegrowany system oddechowy o zamkniętym obiegu zapewnia stalkerom niezawodną ochronę przed szkodliwymi gazami, promieniowaniem i anomaliami w bezlitosnej Strefie. Wykonany z zaawansowanych materiałów z zaawansowanymi technologicznie filtrami, które zapewniają czyste powietrze w najbardziej ekstremalnych warunkach.","Ez az integrált zárt légzőrendszer megbízható védelmet nyújt a leselkedőknek a káros gázok, sugárzások és anomáliák ellen a kíméletlen Zónában. Fejlett anyagokból készült, csúcstechnológiás szűrőkkel, amelyek a legszélsőségesebb körülmények között is tiszta levegőt biztosítanak.","Questo sistema integrato di respirazione a circuito chiuso offre agli stalker una protezione affidabile contro gas nocivi, radiazioni e anomalie nella Zona spietata. Realizzato con materiali avanzati e filtri ad alta tecnologia che garantiscono aria pulita nelle condizioni più estreme.","Este sistema de respiración integrado de circuito cerrado proporciona a los acechadores una protección fiable contra gases nocivos, radiaciones y anomalías en la despiadada Zona. Fabricado con materiales avanzados y filtros de alta tecnología que garantizan un aire limpio en las condiciones más extremas.","Ce système respiratoire intégré à circuit fermé offre aux traqueurs une protection fiable contre les gaz nocifs, les radiations et les anomalies dans la zone impitoyable. Fabriqué à partir de matériaux avancés et de filtres de haute technologie, il garantit un air pur dans les conditions les plus extrêmes.","这种集成式闭路呼吸系统为潜行者提供可靠的保护，防止有害气体、辐射和 ""区 ""内的异常情况。它采用先进材料制成，配有高科技过滤器，可确保在最极端的条件下呼吸到洁净的空气。","この統合型閉鎖式呼吸システムは、無慈悲なゾーンで有害なガス、放射線、異常からストーカーを確実に保護します。最も過酷な条件下でもクリーンな空気を確保するハイテクフィルターを備えた高度な素材から作られています。","Este sistema integrado de respiração em circuito fechado proporciona aos perseguidores uma proteção fiável contra gases nocivos, radiação e anomalias na zona impiedosa. Feito de materiais avançados com filtros de alta tecnologia que garantem ar limpo nas condições mais extremas.","这种集成式闭路呼吸系统为潜行者提供可靠的保护，防止有害气体、辐射和 ""区 ""内的异常情况。它采用先进材料制成，配有高科技过滤器，可确保在最极端的条件下呼吸到洁净的空气。",
"STR_CfgVehicles_SFM_SevaBag_Svoboda0","Regenerative Rebreathers","Regenerative Rebreathers","Regenerační dýchací přístroje","Regenerative Rebreather","Регенеративные ребризёры","Rebreathery regeneracyjne","Regeneratív újralégzőkészülékek","Respiratori rigenerativi","Rebreathers regenerativos","Recycleurs régénératifs","再生式呼吸器","再生式リブリーザー","Rebreathers regenerativos","再生式呼吸器",
"STR_CfgVehicles_SFM_SevaBag_Svoboda1","This integrated closed-circuit breathing system provides stalkers with reliable protection against harmful gases, radiation, and anomalies in the merciless Zone. Made from advanced materials with high-tech filters that ensure clean air in the most extreme conditions.","This integrated closed-circuit breathing system provides stalkers with reliable protection against harmful gases, radiation, and anomalies in the merciless Zone. Made from advanced materials with high-tech filters that ensure clean air in the most extreme conditions.","Tento integrovaný dýchací systém s uzavřeným okruhem poskytuje stalkerům spolehlivou ochranu proti škodlivým plynům, radiaci a anomáliím v nemilosrdné Zóně. Je vyroben z pokročilých materiálů se špičkovými filtry, které zajišťují čistý vzduch i v těch nejextrémnějších podmínkách.","Dieses integrierte Atemschutzsystem mit geschlossenem Kreislauf bietet Stalkern zuverlässigen Schutz vor schädlichen Gasen, Strahlung und Anomalien in der unbarmherzigen Zone. Hergestellt aus fortschrittlichen Materialien mit Hightech-Filtern, die auch unter extremsten Bedingungen für saubere Luft sorgen.","Это интегрированная система замкнутого дыхания, обеспечивающая сталкеру надежную защиту от вредных газов, радиации и аномалий в безжалостной Зоне. Изготовлены из передовых материалов с высокотехнологичными фильтрами, обеспечивающими чистый воздух в самых экстремальных условиях.","Ten zintegrowany system oddechowy o zamkniętym obiegu zapewnia stalkerom niezawodną ochronę przed szkodliwymi gazami, promieniowaniem i anomaliami w bezlitosnej Strefie. Wykonany z zaawansowanych materiałów z zaawansowanymi technologicznie filtrami, które zapewniają czyste powietrze w najbardziej ekstremalnych warunkach.","Ez az integrált zárt légzőrendszer megbízható védelmet nyújt a leselkedőknek a káros gázok, sugárzások és anomáliák ellen a kíméletlen Zónában. Fejlett anyagokból készült, csúcstechnológiás szűrőkkel, amelyek a legszélsőségesebb körülmények között is tiszta levegőt biztosítanak.","Questo sistema integrato di respirazione a circuito chiuso offre agli stalker una protezione affidabile contro gas nocivi, radiazioni e anomalie nella Zona spietata. Realizzato con materiali avanzati e filtri ad alta tecnologia che garantiscono aria pulita nelle condizioni più estreme.","Este sistema de respiración integrado de circuito cerrado proporciona a los acechadores una protección fiable contra gases nocivos, radiaciones y anomalías en la despiadada Zona. Fabricado con materiales avanzados y filtros de alta tecnología que garantizan un aire limpio en las condiciones más extremas.","Ce système respiratoire intégré à circuit fermé offre aux traqueurs une protection fiable contre les gaz nocifs, les radiations et les anomalies dans la zone impitoyable. Fabriqué à partir de matériaux avancés et de filtres de haute technologie, il garantit un air pur dans les conditions les plus extrêmes.","这种集成式闭路呼吸系统为潜行者提供可靠的保护，防止有害气体、辐射和 ""区 ""内的异常情况。它采用先进材料制成，配有高科技过滤器，可确保在最极端的条件下呼吸到洁净的空气。","この統合型閉鎖式呼吸システムは、無慈悲なゾーンで有害なガス、放射線、異常からストーカーを確実に保護します。最も過酷な条件下でもクリーンな空気を確保するハイテクフィルターを備えた高度な素材から作られています。","Este sistema integrado de respiração em circuito fechado proporciona aos perseguidores uma proteção fiável contra gases nocivos, radiação e anomalias na zona impiedosa. Feito de materiais avançados com filtros de alta tecnologia que garantem ar limpo nas condições mais extremas.","这种集成式闭路呼吸系统为潜行者提供可靠的保护，防止有害气体、辐射和 ""区 ""内的异常情况。它采用先进材料制成，配有高科技过滤器，可确保在最极端的条件下呼吸到洁净的空气。",
